name,likes,rating,review,given_reviews,pictures,local_guide,relevance_score,relevance_score_normalized,language,review_translated
Adam W,0,1.0,"worst company ever. arrived to buenos aires airport after being on a connection flight. received an email from flyblondi 4 hours before the flight that the airport where the flight was going to leave from has changed….! the new airport was 1 hour away! the time was 1am so we had no idea if this was a joke email or real! we spoke to the staff who are all 20 years old, they had no idea about this email they said give us a second we will work it out, 5 mins later they said yes you need to travel to the other airport. we thought as we still had a long time to wait we would get a coffee before travelling over to the new airport. whilst we were drinking our coffee (1hour after receiving the first email) we received another email saying “sorry please ignore the first email” !! we were so confused and the staff had no idea what was going on. 

anyway… more to come. we then check our bags on and go through to the check in area where 100’s of people flying with flyblondi were sleeping on the floor and shouting at staff. long story short 200 customers had, had 4 flights cancelled in 2 days and there flight times were always 1am. 

our flight was delayed 6 hours with no one telling us what the reason was or when we may leave. i have to say the company’s staff providing the service were all too young had no control and the customer service was disgusting. 

i would strongly advise everyone not to ever use this company.",0,0,0,0.0,0.0,en,"La peor empresa de todos los tiempos.Llegó al aeropuerto de Buenos Aires después de estar en un vuelo de conexión.Recibí un correo electrónico de Flyblondi 4 horas antes del vuelo del que el aeropuerto donde iba a dejar el vuelo ha cambiado ... ¡!¡El nuevo aeropuerto estaba a 1 hora de distancia!¡El momento era de la 1 a.m., así que no teníamos idea de si esto era un correo electrónico de broma o real!Hablamos con el personal que tiene 20 años, no tenían idea de este correo electrónico que dijeron que nos damos un segundo que lo resolveremos, 5 minutos después dijeron que sí, debe viajar al otro aeropuerto.Pensamos que, como todavía teníamos mucho tiempo para esperar, tomaríamos un café antes de viajar al nuevo aeropuerto.Mientras estábamos bebiendo nuestro café (1 hora de recibir el primer correo electrónico) ¡Recibimos otro correo electrónico diciendo ""Lo siento, por favor ignore el primer correo electrónico""!Estábamos tan confundidos y el personal no tenía idea de lo que estaba pasando.

De todos modos ... más por venir.Luego revisamos nuestras bolsas y pasamos al área de registro donde los 100 de personas que volaban con Flyblondi durmían en el piso y gritaban al personal.Larga historia corta 200 clientes tenían 4 vuelos cancelados en 2 días y los tiempos de vuelo siempre eran de 1 a.m.

Nuestro vuelo se retrasó 6 horas sin nadie que nos dijo cuál era la razón o cuándo podemos irnos.Tengo que decir que el personal de la compañía que proporciona el servicio era demasiado joven que no tenía control y que el servicio al cliente era asqueroso.

Aconsejaría fuertemente a todos que no usen esta empresa."
Adrian,0,1.0,"do not fly with flybondi - just don’t!. our flight got delayed three times from the morning to the afternoon to the evening and again with the uncertainty of cancellation. we decided to book another last minute flight to buenos aires. there is no information point and there is nobody to reach online nor by phone. although the prices look cheap, just don’t fly this airline and please book another one with more certainty of getting your flight.",0,0,0,0.0,0.0,en,"No vuele con Flybondi, ¡simplemente no!Nuestro vuelo se retrasó tres veces de la mañana a la tarde a la noche y nuevamente con la incertidumbre de la cancelación.Decidimos reservar otro vuelo de último minuto a Buenos Aires.No hay un punto de información y no hay nadie para llegar en línea ni por teléfono.Aunque los precios se ven baratos, no vuele esta aerolínea y reserve otra con más certeza de obtener su vuelo."
Adrian Franco,1,1.0,. nos dijeron que esperáramos 20 minutos ya que llegamos demasiado temprano. dijeron que te hagas a un lado y esperes y luego serás el siguiente. el tipo que nos dijo eso se fue y luego las otras personas nos dijeron que volviéramos a la…,235,195,1,119.27499999999999,0.2312920553045434,es,. nos dijeron que esperáramos 20 minutos ya que llegamos demasiado temprano. dijeron que te hagas a un lado y esperes y luego serás el siguiente. el tipo que nos dijo eso se fue y luego las otras personas nos dijeron que volviéramos a la…
Adrian G Isman,0,1.0,"primer vuelo de aep a juj modificado a…. primer vuelo de aep a juj modificado a eze, y 1 dia antes del vuelo cancelado, para reprogramar hay que llamar a un numero, suerte quien alguna vez consigue hablar, nadie atiende despues de 15 minutos, conclusion compre otro pasaje con aerolíneas pagando una fortuna por se solo 1 dia antes del vuelo. mi reserva tenia pagados todos lis extras, al checkin me dieron zona 1 , para que sirve? nos hicieron entrar ultimos al avion y por suerte encontramos espacio para la valija, la atencion en el mostador por parte de antonela crespo es de lo peor, tienen que suspenderla por mal trato a los pasajeros. llegamos tarde, a eze en vez de aep, no vueles con ellos, mas que la libertad de volar, son el mal trato al pasajero!",1,0,0,0.5,0.0009695747445170547,es,"primer vuelo de aep a juj modificado a…. primer vuelo de aep a juj modificado a eze, y 1 dia antes del vuelo cancelado, para reprogramar hay que llamar a un numero, suerte quien alguna vez consigue hablar, nadie atiende despues de 15 minutos, conclusion compre otro pasaje con aerolíneas pagando una fortuna por se solo 1 dia antes del vuelo. mi reserva tenia pagados todos lis extras, al checkin me dieron zona 1 , para que sirve? nos hicieron entrar ultimos al avion y por suerte encontramos espacio para la valija, la atencion en el mostador por parte de antonela crespo es de lo peor, tienen que suspenderla por mal trato a los pasajeros. llegamos tarde, a eze en vez de aep, no vueles con ellos, mas que la libertad de volar, son el mal trato al pasajero!"
Adrian de Ferrariis,0,1.0,"la verdad iba a sacar pasajes para…. la verdad iba a sacar pasajes para semana santa pero después de leer todo lo pésimo que se opina, mejor voy por otra compañia y listo. lo barato sale caro-",3,0,0,1.5,0.002908724233551164,es,"la verdad iba a sacar pasajes para…. la verdad iba a sacar pasajes para semana santa pero después de leer todo lo pésimo que se opina, mejor voy por otra compañia y listo. lo barato sale caro-"
Adriana,0,1.0,"nefasto!!!! te cobran hasta por respirar.. comienzo con lo bueno: lo único que destaco es el horario del vuelo ya que tenía que viajar de emergencia. pero de low cost no tiene absolutamente nada. pague un ojo de la cara el boleto, te cobran por el asiento, por cada valija, por la de cabina, por la mochila, por la cartera, te cobran si te pasas 300g de lo que ya pagaste anteriormente.  asi, hasta que te das cuenta que casi te compraste un pasaje internacional. la atención en mendoza una mierda. te tratan como si te estuvieran haciendo un favor y viajases gratis. y los aviones dejan mucho que desear... definitivamente no lo recomiendo!!!!  dato extra: en todos lados de mendoza te dicen que pueden viajar hasta con 6 botellas de vino. (yo tenía dos) pero tienen que estar dentro de tu mochila o cartera y si sobre pasa los 5kg te siguen cobrando!!!!",0,0,0,0.0,0.0,es,"nefasto!!!! te cobran hasta por respirar.. comienzo con lo bueno: lo único que destaco es el horario del vuelo ya que tenía que viajar de emergencia. pero de low cost no tiene absolutamente nada. pague un ojo de la cara el boleto, te cobran por el asiento, por cada valija, por la de cabina, por la mochila, por la cartera, te cobran si te pasas 300g de lo que ya pagaste anteriormente.  asi, hasta que te das cuenta que casi te compraste un pasaje internacional. la atención en mendoza una mierda. te tratan como si te estuvieran haciendo un favor y viajases gratis. y los aviones dejan mucho que desear... definitivamente no lo recomiendo!!!!  dato extra: en todos lados de mendoza te dicen que pueden viajar hasta con 6 botellas de vino. (yo tenía dos) pero tienen que estar dentro de tu mochila o cartera y si sobre pasa los 5kg te siguen cobrando!!!!"
Adriana Centeno,0,5.0,". tuvimos un vuelo hermoso a cordoba, tanto de ida, como de vuelta, sin inconvenientes y a horario. el personal es excelente, cálidos y muy respetuosos, siempre atentos por si necesitas algo. los volveré a elegir. gracias flybondi. la libertad de volar.",47,36,1,24.18,0.046888634644844766,es,". tuvimos un vuelo hermoso a cordoba, tanto de ida, como de vuelta, sin inconvenientes y a horario. el personal es excelente, cálidos y muy respetuosos, siempre atentos por si necesitas algo. los volveré a elegir. gracias flybondi. la libertad de volar."
Adriana R,0,1.0,"advertencia:  eviten por todos los medios dejarse seducir por flybondi. advertencia!!! empresa argentina que estafa.!! compramos vuelos de rosario-salta, canclean el vuelo por fuerza mayor y pretenden que se abone nuevamente el tramo bs-as-salta. no devuelven el dinero invertido. sólo generan un vaucher por la ""tarifa"",(mientras operan con tu dinero),  no por el pasaje comprado de buena fe. todo armado y orquestado par estafar a la gente. al realizar el reclamo aluden  que dichas condiciones ""figura"" en letra chica!!",0,0,0,0.0,0.0,es,"advertencia:  eviten por todos los medios dejarse seducir por flybondi. advertencia!!! empresa argentina que estafa.!! compramos vuelos de rosario-salta, canclean el vuelo por fuerza mayor y pretenden que se abone nuevamente el tramo bs-as-salta. no devuelven el dinero invertido. sólo generan un vaucher por la ""tarifa"",(mientras operan con tu dinero),  no por el pasaje comprado de buena fe. todo armado y orquestado par estafar a la gente. al realizar el reclamo aluden  que dichas condiciones ""figura"" en letra chica!!"
Adrián G,0,1.0,"impresentables. teníamos programado un vuelo para el 6 de marzo desde bs as a bariloche ( con 5 amigos ). primero nos atrasaron la salida una hs, después nos cambiaron de aeropuerto mandándonos a ezeiza y finalmente nos retrasaron en 2 oportunidades la vuelta, tanto que tuvimos que reservar una noche más de alojamiento. cdo embarcamos para la vuelta nos enteramos que la valija pequeña carry on no estaba incluida ( si lo estuvo en la ida sin cargo ) y debíamos abonar $ 2500. después de discutir con 2 inútiles que no solucionaron nada subimos al avión y nos enteramos que nos habían cambiado los asientos sin siquiera avisarnos. viajamos todos separados. en ningún momento nos pidieron disculpas, estas 2 impresentables que ponen la cara se piensan que van a ser nombradas empladas del mes.",0,0,0,0.0,0.0,es,"impresentables. teníamos programado un vuelo para el 6 de marzo desde bs as a bariloche ( con 5 amigos ). primero nos atrasaron la salida una hs, después nos cambiaron de aeropuerto mandándonos a ezeiza y finalmente nos retrasaron en 2 oportunidades la vuelta, tanto que tuvimos que reservar una noche más de alojamiento. cdo embarcamos para la vuelta nos enteramos que la valija pequeña carry on no estaba incluida ( si lo estuvo en la ida sin cargo ) y debíamos abonar $ 2500. después de discutir con 2 inútiles que no solucionaron nada subimos al avión y nos enteramos que nos habían cambiado los asientos sin siquiera avisarnos. viajamos todos separados. en ningún momento nos pidieron disculpas, estas 2 impresentables que ponen la cara se piensan que van a ser nombradas empladas del mes."
Agostina L,0,4.0,"me sorprendió para bien. no le tenía nada de fe a flybondí. saque el pasaje por esa compañía solamente por una cuestión de precio; era feriado y otras aerolíneas no bajaban de $15.000. a la ida el vuelo salió 2 horas más tarde, pero el cambio se hizo con mucha anticipación, de modo que no me complicó en lo más mínimo (en vez de salir a las 19 horas salió a las 21) y el vuelo de regreso salió incluso 10 minutos antes de lo pautado de modo que llegamos perfectamente a horario. no tengo quejas al respecto. de haber una diferencia de tarifa considerable como en este caso volvería a comprar pasaje de flybondi.",0,0,0,0.0,0.0,es,"me sorprendió para bien. no le tenía nada de fe a flybondí. saque el pasaje por esa compañía solamente por una cuestión de precio; era feriado y otras aerolíneas no bajaban de $15.000. a la ida el vuelo salió 2 horas más tarde, pero el cambio se hizo con mucha anticipación, de modo que no me complicó en lo más mínimo (en vez de salir a las 19 horas salió a las 21) y el vuelo de regreso salió incluso 10 minutos antes de lo pautado de modo que llegamos perfectamente a horario. no tengo quejas al respecto. de haber una diferencia de tarifa considerable como en este caso volvería a comprar pasaje de flybondi."
Agostina N,0,1.0,"si pudiese poner cero lo haría, pero como no es posible les pongo uno.. los aviones son muy viejos, algunos asientos están desgastados al nivel que se les ve la goma espuma que tienen por debajo del recubrimiento del asiento. además estaban las filas muy pegadas entre sí. 
el trato del personal en el aeropuerto también dejó mucho que desear, no me tiró una silla por la cabeza porque no tenía una a mano. 
no recomiendo para nada viajar con esta aerolínea. ",0,0,0,0.0,0.0,es,"si pudiese poner cero lo haría, pero como no es posible les pongo uno.. los aviones son muy viejos, algunos asientos están desgastados al nivel que se les ve la goma espuma que tienen por debajo del recubrimiento del asiento. además estaban las filas muy pegadas entre sí. 
el trato del personal en el aeropuerto también dejó mucho que desear, no me tiró una silla por la cabeza porque no tenía una a mano. 
no recomiendo para nada viajar con esta aerolínea. "
Agus C,0,1.0,"la peor aerolínea sin dudas. tenia un vuelo planeado para el 20/12 para psar navidad con mi familia, no solo me cancelaron dos horas antes de mi vuelo, cosa que ya estaba en el aeropuerto x supuesto y me cambiaron el vuelo para el 24/12 a las 19 hs. para pasar navidad en el avion con los pasajeros… insolito!!! 
no solo no se hicieron cargo sino que no ofrecian ninguna alternativa ni opcion, hacen lo que quieren como si esto no trajera consecuencias en la persola.
4 dias despues justo en las fiestas. patetico.
nunca respondieron mis llamados ni reclamos, tuve que comprar otro pasaje con otra aerolinea en ese momento mucho mas caro
ademas saque a mi abuela y mi tia y tambien les cambiaron el horario como si nada.
otra experiencia, mis papas sacaron a jujuy y les cambiaron a salta. tuvieron que viajar de noche de una procinciana otra perdiendo el auto, el hotel y nadie se hizo cargo.",0,0,0,0.0,0.0,es,"la peor aerolínea sin dudas. tenia un vuelo planeado para el 20/12 para psar navidad con mi familia, no solo me cancelaron dos horas antes de mi vuelo, cosa que ya estaba en el aeropuerto x supuesto y me cambiaron el vuelo para el 24/12 a las 19 hs. para pasar navidad en el avion con los pasajeros… insolito!!! 
no solo no se hicieron cargo sino que no ofrecian ninguna alternativa ni opcion, hacen lo que quieren como si esto no trajera consecuencias en la persola.
4 dias despues justo en las fiestas. patetico.
nunca respondieron mis llamados ni reclamos, tuve que comprar otro pasaje con otra aerolinea en ese momento mucho mas caro
ademas saque a mi abuela y mi tia y tambien les cambiaron el horario como si nada.
otra experiencia, mis papas sacaron a jujuy y les cambiaron a salta. tuvieron que viajar de noche de una procinciana otra perdiendo el auto, el hotel y nadie se hizo cargo."
Agus Gutierrez,0,5.0,. la verdad el vuelo de madryn a buenos aires muy eficiente. estaría bueno que tengan más horarios para poder viajar.,12,10,1,6.55,0.012701429153173417,es,. la verdad el vuelo de madryn a buenos aires muy eficiente. estaría bueno que tengan más horarios para poder viajar.
Agus O,0,1.0,"haceme caso no compres con flybondi. buen día. voy a ser muy precisa
no compren con flybondi.
vuelo cancelado 3 veces
+ vuelo demorado
+ 2horas en línea por teléfono para poder resolver.
conexiones luego del vuelo? las perdí. adivinen qué? nadie se hizo cargo.

gracias y si sos viajero frecuente, sin dudas es una aerolínea que no volvería a elegir. flashas que es un toque más barata. y después te la ponen con los vuelos cancelados, cambio de aeropuerto y cambio de horarios.
",0,0,0,0.0,0.0,es,"haceme caso no compres con flybondi. buen día. voy a ser muy precisa
no compren con flybondi.
vuelo cancelado 3 veces
+ vuelo demorado
+ 2horas en línea por teléfono para poder resolver.
conexiones luego del vuelo? las perdí. adivinen qué? nadie se hizo cargo.

gracias y si sos viajero frecuente, sin dudas es una aerolínea que no volvería a elegir. flashas que es un toque más barata. y después te la ponen con los vuelos cancelados, cambio de aeropuerto y cambio de horarios.
"
Agus P,0,1.0,"opino. la ida viajamos con mi pareja muy bien , aunque nos cambiaron el vuelo como 5 veces  antes de viajar y ahora estamos varados en neuquén porq se les ocurrió cancelarnos en vuelo del 12/03 y pasarlo  al 22/03 siendo que nosotros trabajamos y el 14/03 nos tenemos que presentar a trabajar. llamamos y nos tardan un montón en atender y encima nos dan vueltas para darnos el reembolso, la verdad que nos arruinaron las vacaciones y ahora estamos tratando de buscar otro vuelo hacia buenos aires que nos salen carísimo. les recomiendo que paguen un poco más en otras aerolíneas porque con flyblondi se van a arrepentir",0,0,0,0.0,0.0,es,"opino. la ida viajamos con mi pareja muy bien , aunque nos cambiaron el vuelo como 5 veces  antes de viajar y ahora estamos varados en neuquén porq se les ocurrió cancelarnos en vuelo del 12/03 y pasarlo  al 22/03 siendo que nosotros trabajamos y el 14/03 nos tenemos que presentar a trabajar. llamamos y nos tardan un montón en atender y encima nos dan vueltas para darnos el reembolso, la verdad que nos arruinaron las vacaciones y ahora estamos tratando de buscar otro vuelo hacia buenos aires que nos salen carísimo. les recomiendo que paguen un poco más en otras aerolíneas porque con flyblondi se van a arrepentir"
Agustin Gollan,0,1.0,"la peor low cost para volar, para nada recomendable. pésima experiancia, me reprogramaron el vuelo en 5 oportunidades y horas antes de volar me cambian el horario y el destino a ezeiza, una falta de respeto al consumidor, no vuelo más por esta low cost",0,0,0,0.0,0.0,es,"la peor low cost para volar, para nada recomendable. pésima experiancia, me reprogramaron el vuelo en 5 oportunidades y horas antes de volar me cambian el horario y el destino a ezeiza, una falta de respeto al consumidor, no vuelo más por esta low cost"
AgustinLA,0,4.0,muy bueno y sin robos en la tarifa. muy buen servicio. ida y vuelta a horario. sin costos inutiles para un viaje de 2.5 hs. ademas el aterrizaje en san pablo con tormenta el 5 feb 2020 fue magnifico. sigan adelante!!,0,0,0,0.0,0.0,es,muy bueno y sin robos en la tarifa. muy buen servicio. ida y vuelta a horario. sin costos inutiles para un viaje de 2.5 hs. ademas el aterrizaje en san pablo con tormenta el 5 feb 2020 fue magnifico. sigan adelante!!
Agustina,0,2.0,"no compren con flybondi si tienen que llegar en una fecha exacta a destino. ya son varias las veces que vole con flybondi y fueron mas los vuelos donde tuve un incoveniente que los que no. lo más reciente fue la cancelacion del vuelo 5min antes de embarcar, nos mandaron a nuestra casa con un papelito para que nos encarguemos de nuestra propia reprogramación, no se hicieron carga de ningún gasto. no recomendaría flybondi si tenes que llegar a destino en un horario/ dia especifico, no son de confianza.",2,0,0,1.0,0.0019391494890341095,es,"no compren con flybondi si tienen que llegar en una fecha exacta a destino. ya son varias las veces que vole con flybondi y fueron mas los vuelos donde tuve un incoveniente que los que no. lo más reciente fue la cancelacion del vuelo 5min antes de embarcar, nos mandaron a nuestra casa con un papelito para que nos encarguemos de nuestra propia reprogramación, no se hicieron carga de ningún gasto. no recomendaría flybondi si tenes que llegar a destino en un horario/ dia especifico, no son de confianza."
