name,experience,rating,review_text,likes,review_title,Unnamed: 4,Unnamed: 5
Fernando César PEDRAZA MORALES,3 reseñas · 1 foto,5 estrellas:,"Viaje a Salta hace un mes atrás aprox.
Los últimos viajes a Salta los he hecho a través d Flybondi. Los vuelos técnicamente son buenísimos en general los pilotos mb pericia.…",,,,
Monica Gimenez,Local Guide · 189 reseñas · 525 fotos,5 estrellas:,"Viajamos varias veces con ésta empresa, habremos tenido suerte, no sé, nunca tuvimos un problema!! Esta vez de Bs. As. a Tucumán y de Tucumán a Bs. As., excelente vuelos, super atentos todo el personal de la tripulación. Sirven refrigerio, pedimos café con leche y un alfajor por $ 2.500.-",1.0,,,
MONICA POLZELLA,5 reseñas · 15 fotos,5 estrellas:,"Hermoso vuelo, 8 veces viaje con uds a Río de Janeiro y por suerte nunca tuvimos problemas, salvó algún pequeño retraso de media hora en uno de los vuelos.✈️🙌…",,,,
Jorgepoltro Poltronieri,Local Guide · 402 reseñas · 499 fotos,4 estrellas:,"Por ser una línea low cost, anda bien. Si sos alto viajas apretado. La atención  del personal es buena. Los afecta  mucho las medidas de fuerza de intercargo. Hay retrasos, demoras y cancelaciones  a menudo. Y no se hacen cargo. Te dejan en ezeiza cuando tu pasaje dice aeroparque.. y arreglate como puedas.",1.0,,,
Fernando Schamne,Local Guide · 8 reseñas · 1 foto,3 estrellas:,"Realmente el vuelo sin mayores problemas, pero tengan en cuenta que al menos a mí me cambiaron los horarios de los dos vuelos y me avisaron el mismo día unas horas antes.. si tenes cosas organizadas se te complica estas situaciones.",2.0,,,
netflix santa fe,Local Guide · 25 reseñas · 10 fotos,5 estrellas:,"Muchas gracias a flybondi. todo excelente tanto ida como regreso a Bariloche.  se demoro la ida pero propio del conflicto aeronáutico,  el regreso en horario. excelente oportunidad para viajar barato por el pais o a Brasil.  un gran abrazo",,,,
Shirley Alarcón,Local Guide · 181 reseñas · 1.256 fotos,4 estrellas:,"Empresa que vuela en el territorio argentino, la escogí para un viaje nacional de Buenos Aires a Iguazú.
Este vuelo va lleno porque se dirige a un lugar muy turístico, los asientos son…",,,,
Yesica Rubino,Local Guide · 130 reseñas · 730 fotos,4 estrellas:,"Mi experiencia con la aerolínea fue en la.mayoria de las oportunidades, excelente. Alguna vez se atrasó un vuelo y me lo notificaron. Una vez me cancelaron un vuelo y me avisaron con 6 días de anticipación, dándome.la.posibilidad de…",9.0,,,
Maria Fernanda Villarreal,1 reseña · 3 fotos,5 estrellas:,"Lo que más destacó es la cordialidad del personal a diferencia de otra aerolineas...  sobre todo muy atentos con los niños. El tema de la puntualidad y reprogramaciones es un tema habitual en fly, pero bueno el resto muy bien todo.",1.0,,,
maria laura heyde,Local Guide · 18 reseñas · 37 fotos,5 estrellas:,"Experiencia positiva.Solo modificaron poco tiempo de regreso y fuimos a Ezeiza qué nos quedaba mejor.Hasta ahora los sigo eligiendo.Me quedan 2 viajes más.Espero sigan así!!!! Ushuaia, Junio/2024.",1.0,,,
Romina Santillan,3 reseñas · 2 fotos,5 estrellas:,Hermoso viaje! Tuve demoras pero era comprensible. Espero poder hacer muchos viajes más!!! Excelente el servicio!,,,,
Lic. Adriàn Ariel Cassino,Local Guide · 38 reseñas · 54 fotos,5 estrellas:,"Excelente servicio pre-vuelo y durante el vuelo. Las tripulaciones excelentes. El espacio para las piernas es más que suficiente (y no soy bajito). La única contra: los asientos son bastantes duros. Para viajes de 3 a 4 horas excelentes, más tiempo… asientos y viaje duro.",,,,
Luz Alon,Local Guide · 8 reseñas · 31 fotos,4 estrellas:,Pondré 5 estrellas cuando dejen de cambiar los vuelos sin motivos y el día que pueda volar sin esas dificultades lo demás todo bien!! Los chicos en cabina siempre pendientes y muy amables,,,,
Victor ismael Recalde,6 reseñas · 23 fotos,5 estrellas:,Todas las líneas aérea tendrían que tomar como ejemplo y darle esta oportunidad a mucha gente que por hay es la única oportunidad de viajar en avión los felicito y les agradezco este regalo que nos da a los clientes feliz cumpleaños y que sean muchos más grande FLYBONDI,,,,
gabriel Goncalves,14 reseñas · 37 fotos,5 estrellas:,"Muy Buena atención a bordo y buenos combos de snack a bordo ,vuelo a Iguazú en horario y buenas aeronaves",,,,
laura gomez,Local Guide · 9 reseñas · 27 fotos,5 estrellas:,"Excelente todo!!! Tanto el personal abordo, como el capitán de vuelo, ni se sintió el despegue como el aterrizaje. Unos genios.",,,,
M. Agustina Leiva,Local Guide · 22 reseñas · 12 fotos,2 estrellas:,"Me gané uno de los pasajes que ofrecieron por el aniversario de la aerolínea, en febrero de 2024. Elegí tramo Mendoza- Buenos Aires para viajar el jueves 4/4. Solo pagué los impuestos, como decía la promo, y además pagué mi valija en bodega…",4.0,,,
Pilar Aiello,7 reseñas · 2 fotos,1 estrellas:,"Son la verdad q el descontrol hecho empresa, no me respetaron ningún vuelo contratado cambiaron horario, fecha y aeropuerto. Por supuesto no asumieron ningún gasto de los q su ineficiencia provoca. Ahhhh además llegaron 50 minutos demorados. Es la única  empresa q tiene  tantos problemas",3.0,,,
Paola Fernandez,Local Guide · 7 reseñas · 3 fotos,5 estrellas:,Excelente viaje!. El personal súper amable. Gracias por la posibilidad de volar.,,,,
Lo Pequeño es Hermoso,14 reseñas · 1 foto,5 estrellas:,"Un viaje de Primera! Tanto de ida como de vuelta gozamos de calida atención , los horarios muy puntuales, los pilotos increíbles!; tanto el despegue como el aterrizaje suaves y precisos! Y el personal de a bordo muy gentil.…",,,,
Sol Mattivi Aboy,17 reseñas · 17 fotos,1 estrellas:,"Le doy una estrella porque no le puedo poner puntaje negativo. La peor experiencia que tuve en mi vida.
Finde largo, nos cancelaron el vuelo de ida 24hrs antes sin brindar ninguna…",5.0,,,
Guillermo Luis Grassi,Local Guide · 593 reseñas · 872 fotos,1 estrellas:,"Una estrella es mucho !
Estresan a pasajero !!!
Aviones con interiores sucios rotos y espacios diminutos , poblados de asientos…",1.0,,,
Daiana Moyano,1 reseña · 1 foto,2 estrellas:,"Es una aerolineas que no tiene drama alguno de reprogramar hasta 3 veces un vuelo en menos de 24 horas, cambiar tu aeropuerto de destino, sin asegurar la movilidad de sus pasajeros...tiene una tremenda infraestructura para brindar un mejor servicio. Esta bueno ue permitan expresar nuestras opiniones",2.0,,,
Martin Mambrin,6 reseñas · 12 fotos,5 estrellas:,"Tuve la oportunidad de viajar este año por primera vez con la empresa Flybondi y sin dudas supera expectativas, el vuelo fue muy bueno, se demoro un poco la salida pero porque le realizaron mantenimiento al avión  y eso es responsabilidad y…",7.0,,,
ANGELO B Z,Local Guide · 16 reseñas · 15 fotos,1 estrellas:,"Pésimo servicio. Los aviones muy sucios y todo rotos los accesorios del avión.
Eso si para cóbrate 1 kilo demás son buenos",1.0,,,
Sebastian Rubel,Local Guide · 263 reseñas · 121 fotos,4 estrellas:,"Vuelos excelentes y bien llevados, la tripulacion impecable. solo objeto que tengas qeu pagar para usar el maletero superior. podrian delimitar el tamaño y peso como hacen con el de mano para llevar. Que para mantener el bajo costo cobren la bodega no lo cuestiono, pero si el uso del maletero.",,,,
Facundo Krivanek,6 reseñas,5 estrellas:,"Nuestro vuelo de ida se demoró 6 horas por hielo en pista en el destino, la espera fue tediosa pero la aerolínea se portó y nos ofreció el almuerzo sin costo. En el vuelo de vuelta, no tuvimos ningún tipo de problemas y salimos unos minutos…",,,,
Sebastián Cardozo,Local Guide · 43 reseñas · 43 fotos,5 estrellas:,"No tuve problemas al viajar con la empresa
La tripulación es muy cordial
Por el precio que se paga es muy recomendable…",,,,
maria carabajal,2 reseñas · 1 foto,4 estrellas:,"Muy criticado pero la verdad la primera vez que lo uso y todo estuvo bien , nose si es suerte o si está bien , en horario , buen servicio y buen vuelo . La verdad lo volvería a elegir, con miedo pero lo volvería a elegir",,,,
Jose Luis Matzner,Local Guide · 84 reseñas · 590 fotos,4 estrellas:,"El vuelo. muy bien. Muy tranquilo. La empresa presta un excelente servicio. Se dio en este vuelo, el cambio de aeropuerto sobre la fecha. Con los consiguientes trastornos. Fuera de eso. Todo ok",,,,
Elena Marques,5 reseñas · 3 fotos,5 estrellas:,"Tuvimos un vuelo muy confortable y en horario, a pesar de la intensa nevada durante todo el día.",,,,
Marisa Bor,Local Guide · 14 reseñas · 22 fotos,5 estrellas:,Tenía mis dudas respecto de la empresa. Los pasajes los gané con el sorteo de cumpleaños que hicieron y elegí volar a Jujuy en vacaciones de invierno. Los vuelos fueron salieron a horario y sin ningún inconveniente. Tenía el prejuicio de…,,,,
Antonella Diaz,Local Guide · 36 reseñas · 25 fotos,5 estrellas:,"La mejor línea para viajar, son los únicos pilotos que se le entienden lo que dice en el viaje, no como aerolíneas que no se les entienden nada. Destacó de los pilotos, al igual que las azafatas. Excelente servicio! Desde el inicio hasta el final. El piloto paso una gran tormenta de 10. La verdad mucha seguridad te transmite.",9.0,,,
Jorge Allen,2 reseñas · 8 fotos,5 estrellas:,"Muy buena atención y predisposición del personal  , excelente cordialidad , puntualidad e higiene.",1.0,,,
Virginia San Martino,1 reseña · 4 fotos,5 estrellas:,"He viajado muchas veces con Flybondi, debo decir que la única vez que se demoró un vuelo fue cuando conocí al amor de mi vida, así que súper justificado.
En esta oportunidad me gané pasaje para volver a Bariloche, lugar donde nos…",4.0,,,
Daniela Bonomo,Local Guide · 40 reseñas · 9 fotos,4 estrellas:,"La verdad destaco la excelente atención de todo el personal: mostrador de aeroparque, personal de ambos vuelos y del aeropuerto de Salta.
Los vuelos estuvieron muy bien. El vuelo de vuelta nos lo habían reprogramado…",,,,
Abel Oscar Laghezza,1 reseña · 6 fotos,1 estrellas:,Quedamos varados en Florianopolis. Vuelo cancelado y todos embarcados esperamos 10 horas el día 24 de julio 2024.Ninguna respuesta satisfactoria. Un desastre.,,,,
marcela monzon,1 reseña · 3 fotos,5 estrellas:,"Primera vez que viajo con Flybondy , hermosa experiencia, muy buen servicio.",,,,
Gabriela Loncon,Local Guide · 11 reseñas · 12 fotos,5 estrellas:,"Es la primera vez que viajo con flybondi y me pregunto porque no lo hice antes? Excelente experiencia, desde la compra on line que es ágil hasta el vuelo, porque los asistentes del vuelo son muy amables. Sin duda volveremos a viajar con Flybondi.",,,,
Daniel Escada,3 reseñas · 2 fotos,5 estrellas:,Excelente vuelo. Y a horario. No solo el de atención  al público. El personal personal de cabina.  Genial,,,,
Mariana Bianchi,5 reseñas · 7 fotos,5 estrellas:,"Excelente compañía, siempre tratando de crecer y seguir adelante, a pesar de las trabas permanentes de quienes no entieden q hay trabajo para todos, a seguir adelante! Felicito a todo su personal. Las fotos son del día del Paro, donde Flybondi fue una de las pocas compañías q siguieron con su actividad!",1.0,,,
Enio Aldazoro,6 reseñas · 1 foto,3 estrellas:,"En general los servicios son bastante buenos y su personal es amable. Lo malo es que siempre te cambian el itinerario y aunque planifique llegar o salir por Aeroparque, siempre termino llegando o saliendo por Ezeiza. Otro punto, es la…",,,,
Daniel Milone,1 reseña,1 estrellas:,Me cancelaron el vuelo 12hs antes de la partida y me dejaron un teléfono para reprogramarlo al cual insistí 50 veces y nunca me contestaron. Necesitaba volver si o si de mis vacaciones y tuve que pagar un nuevo pasaje con la misma Flybondi…,,,,
Gianella Nicole Kimberly Costelaz,6 reseñas · 7 fotos,3 estrellas:,"Relación calidad-precio
Viajé de Buenos Aires a Bariloche. Tuvo un poco de demora. Cuando entramos al avión, los asientos estaban un poco sucios. Calculo que el equipo de cabina no…",,,,
CAROLA SCAVUVI,25 reseñas · 87 fotos,5 estrellas:,Viajamos con mi hija de 8 años de Córdoba a Bariloche salió todo bien salieron a tiempo y aterrizamos a tiempo. Todo el proceso impecable. Desde la facilidad del check in hasta la atención de la gente. Felicidades,,,,
Leandro Anelli,Local Guide · 15 reseñas · 2 fotos,5 estrellas:,Todo impecable puntualidad y atencion. La primera vez que vuelo.. hicieron que mi experiencia  sea excepcional,,,,
agustin navarro,4 reseñas,1 estrellas:,"Pongo una estrella por que no se puede poner cero!
la pagina web siempre da error a la hora de agregar equipaje, intente desde varios dispositivos diferentes y siempre dice servicio no disponible. Por lo que en…",,,,
Lucy Rodriguez,8 reseñas · 3 fotos,1 estrellas:,"La peor experiencia de mi vida, 5 veces te programaron mi vuelo y aun no se si voy a poder viajar, todo un día perdido y dinero que no va volver a mi bolsillo. No viajen con esta empresa! Lo que pagas el pasaje más barato que en otra aerolínea después te lo cobran con la mala sangre que te haces.",,,,
Laura Pucciarelli,13 reseñas · 1 foto,5 estrellas:,"Han sido absolutamente puntuales en los horarios y en plena temporada alta de invierno. El personal, tanto en tierra como de abordo, han sido muy amables, contemplativos y colaboradores conmigo que viajo con mi perrita en cabina. Es la…",,,,
NELSON MOLERO,2 reseñas · 2 fotos,5 estrellas:,"Compre ida y vuelta de Mendoza a B. AIRES y aunque hubo un retraso de 2 horas (me avisaron por correo) en el vuelo de ida me quedó perfecto porque yo andaba un poco corto de tiempo, así que impecable, igual la aeronave super comoda, se…",,,,
Damian Enrique Bracamonte,1 reseña · 4 fotos,5 estrellas:,Feliz de viajar con Flybondi en su año de  aniversario. Fue mi primera experiencia de volar. Excelente la atención en todo momento. Estoy muy agradecido 🥳…,,,,
G H RA,Local Guide · 292 reseñas · 1.975 fotos,3 estrellas:,"Me resultó buena.  Pude tener un viaje de ida y vuelta absolutamente normal. Bien atendido tanto en ventanillas como abordo de las naves. La comodidad de los asientos,  normal. Los 2 viajes tanto ida como vuelta En Horario. Los precios…",3.0,,,
Constanza Enrico,15 reseñas · 1 foto,1 estrellas:,"Me gano un pasaje ,ida y vuelta a Bariloche ,me dicen que tengo que poner $16000 de impuestos. Me modifican el vuelo, llamo para reprogramarlo para otra fecha y me dicen que me hicieron un voucher por $14000.... Me llegó el voucher a mi…",,,,
Anabi Yozia,3 reseñas · 1 foto,1 estrellas:,"No solo cambian los vuelos, no respetan los horarios, te rompen la valija, etc., sino que la falta de limpieza es increíble. Por favor, mejoren el servicio que es pésimo!!",,,,
Agus Gutierrez,Local Guide · 12 reseñas · 10 fotos,5 estrellas:,La verdad el vuelo de madryn a Buenos Aires muy eficiente. Estaría bueno que tengan más horarios para poder viajar.,,,,
Isabel Amarilla,2 reseñas · 6 fotos,5 estrellas:,"Hola. Fui con mí familia a Brasil Florianópolis. Si bien el viaje es corto, agradezco la atención de todo el equipo de a bordo por su atención y por estar atentos a cada detalle. Muy lindo servicio.…",1.0,,,
Daniel Lovera,5 reseñas · 2 fotos,5 estrellas:,"Muy buena atención y puntualidad en las salidas, ya varios vuelos que se repite",,,,
Mónica Guilloux,Local Guide · 186 reseñas · 383 fotos,5 estrellas:,Fue un vuelo excelente  !! Apesar de que subimos  y salimos con una demora importante estábamos  muy nerviosos todos  y el Señor Piloto salio a pedir disculpas y explicar que la empresa  estaba ajena al paro de empleados de tierra toda la…,,,,
Lurdes Morales,Local Guide · 16 reseñas · 50 fotos,1 estrellas:,"Tuve una experiencia muy decepcionante con Fly Bondi. Nuestro vuelo se atrasó una hora sin ninguna explicación clara. Además, al llegar a nuestro destino, demoraron más de 10 minutos en abrir las puertas para desembarcar. También llamé por…",2.0,,,
Na Capararo,Local Guide · 26 reseñas · 36 fotos,5 estrellas:,"Excelente! Me asocie al club flybondi en el 2021 y lo renuevo cada año. No he tenido nunca un cambio de horario importante ni inconvenientes de ninguna indole.
Los precios son muy buenos y los chicos/as con los que me ha tocado volar siempre muy amables.",1.0,,,
GUILLERMO IBARRA,Local Guide · 9 reseñas · 40 fotos,5 estrellas:,"Excelente servicio, puntual con una correcta asistencia de la tripulacion en vuelo, viaje que insentiva disfrutal el vuelo. Lamento, ajeno a la empresa, la falta de asistencia de manga en Ezeiza. Gracias Flybondi",,,,
Santiago Gonzalez Celestre,Local Guide · 109 reseñas · 79 fotos,4 estrellas:,El personal de cabina es muy cordial y los vuelos se llevan a cabo de la forma esperada. Si bien pueden surgir algunos cambios en los horarios se agradece la predisposición de la aerolínea para mantener el servicio.,,,,
Diego Esper,Local Guide · 52 reseñas · 16 fotos,3 estrellas:,"Muy satisfecho. Muy. Lo mejor, la amabilidad y profesionalismo de la tripulación. Lo negativo: se me debitó dos veces una compra a bordo. Y todavía no me dan solución.",,,,
Carlos Simes,Local Guide · 138 reseñas · 902 fotos,5 estrellas:,Muy buena experiencia. El vuelo salio a horario y llegamos unos minutos antes a destino. El personal muy amable y siempre atento a los requerimientos de los pasajeros. El avión impecable. Un muy buen servicio a un precio accesible. Felicitaciones a todo el equipo de Flybondi.,,,,
Luciano Martin,Local Guide · 49 reseñas · 5 fotos,1 estrellas:,La peor empresa que viaje... NUNCA MAS!!! No cumplen en nada... 2 vuelos tome ninguno en horario. Uno me lo cancelaron. (8hs de Reprogramacion) y el otro lo re programaron ellos (10hs esperando en aeropuerto) un DESASTRE! Paguen la…,,,,
Cinthya González,15 reseñas,1 estrellas:,"NO COMPREN EN ESTA AEROLÍNEA! Hacen pasar un mal rato. Te cambian el vuelo, lo cancelan, te cambian el aeropuerto, no contestan las llamadas, no reponen el dinero de sus desastres y te hacen un lío del viaje. Lo único que rescato es el buen…",4.0,,,
Gonzalo Rufino,Local Guide · 274 reseñas · 104 fotos,5 estrellas:,"Viajé a San Juan, la verdad excelente todo , desde la atención en el check-in hasta las azafatas. El vuelo salió y llegó en el horario establecido. La aeronave en muy buen estado.",,,,
Daniela Muñoz,Local Guide · 8 reseñas · 6 fotos,4 estrellas:,"Fue mi primer viaje en avion y la verdad que quede muy contenta. El trato desde el check in hasta la llegada al aeropuerto excelente.
La comida a bordo muy accesible, mejor precio que comprar en cualquier kiosco.
Volveria a viajar por esta empresa.",,,,
Roberto Martinolich,Local Guide · 43 reseñas · 1 foto,4 estrellas:,"El personal de cabina bastante hosco, a la ida y a la vuelta a Río (vuelos 5991/5992). No te olvides de nada en las gavetas porque la aerolínea aparte de no querer tener responsabilidad sobre ello, tardan tres (si tres) días en contestarte.…",,,,
Abel Cortona,2 reseñas · 5 fotos,3 estrellas:,Con respecto al vuelo todo muy bien. El problema que tuvimos es que nos  cambiaron el aeropuerto de llegada. Y no nos reconocieron nada. Tuvimos que volar a Aeroparque y de ahí ir a Ezeiza por nuestra cuenta a buscar el auto que lo habíamos dejado ahí..,,,,
Estela Ortiz,Local Guide · 191 reseñas · 466 fotos,3 estrellas:,"Hola!! Mí experiencia ésta vez fue excelente,  sin demora , puntual en la salida, deberían mejorar de qué los pasajeros no estén mucho tiempo para descender del avión,  porque los olores de ciertas personas descompone, también los traslados…",1.0,,,
Mauro Ezequiel Petriella,3 reseñas,1 estrellas:,"Todo lo que sería un verdadero desastre. En vez de entender que les conviene que los pasajeros viajen, hacen todo lo posible para que no puedas reprogramar. Los mismos asesores telefónicos están capacitados para poder responder…",,,,
Erica Dobla,3 reseñas · 1 foto,5 estrellas:,"Hermoso viaje!
Muy atentos, me sentí muy cómoda.
Se entendía muy bien lo que decía el piloto.…",5.0,,,
Rafael Dalpra,Local Guide · 22 reseñas · 34 fotos,1 estrellas:,"Te rompen la valija y no se hacen cargo.
Además de que siempre te atrasan o adelantan vuelos, te cambian las fechas.
Es mas barato, si. Pero te da muchos dolores de cabeza. Elijan otra aerolinea.",,,,
óscar miguel,39 reseñas · 20 fotos,5 estrellas:,Lo que se espera de una Low costo. La utilice varias veces y fue Eficiente y  en el check-in sencillo y rapido.,,,,
Martin Diaz,2 reseñas,5 estrellas:,"Del 1 al 10, un servicio de 9 puntos.

El punto que le descuento es por haber sufrido cancelaciones y las soluciones…",,,,
Sergio Mora,Local Guide · 4 reseñas · 10 fotos,3 estrellas:,"En general los vuelos estuvieron bien, las chicas de la aerolínea fueron amables y no hubo retraso en el vuelo…",4.0,,,
Eliana Insaurralde,6 reseñas,5 estrellas:,"Primera vez que viajamos con Flybondi, la experiencia fue muy buena.
Viajamos 5 personas de la familia, 3 de los  pasajes fueron otorgados por la empresa en el mes de febrero por su Aniversario!!! 😊…",,,,
Juan G,2 reseñas,4 estrellas:,"Primera vez que viajé en esta aerolínea. Buena relación calidad precio. Buena atención, amabilidad y servicio por parte del personal. Página web intuitiva, sencilla, amigable y práctica. Puntualidad en los vuelos. Por mejorar (teniendo en…",,,,
Cristina Betker,1 reseña · 4 fotos,5 estrellas:,"Aeropuerto Córdoba.  Mayo 2024
Gracias  Flybondi por el regalo de este viaje de reencuentro con una amiga y ex compañera de secundaria.  Toda una vida de amistad.  Lo gané en el festejo de vuestro aniversario! Gracias!",,,,
Pablo Salas,1 reseña · 1 foto,5 estrellas:,Muy buena atención todos muy amables y fácil de reservar muy cómodo viaje,,,,
Marcela Andrea Pugliani,Local Guide · 65 reseñas · 36 fotos,5 estrellas:,Hasta ahora siempre hemos viajado correctamente!!! Muy amables.,,,,
Sandra Taborda,Local Guide · 20 reseñas · 66 fotos,1 estrellas:,"És barato? Si! Pero Mi vida vale mas! Porque no hacen una inspeccion Pre Vuelo? Ya viaje várias vezes y está fue la última vez, siempre vi lo mismo: desembarcan Los pasajeros y imediatamente embarcan nuevos pasajeros y Salen, no hacen una…",,,,
Armando Aguirre,20 reseñas,5 estrellas:,"Superó ampliamente mis expectativas. Muy bien atendidos. El personal tanto en el aeropuerto como en la cabina fue muy amable y eficiente. Bien seleccionado.
Además muy puntual.",,,,
Nabila Malvestitti,Local Guide · 67 reseñas · 58 fotos,5 estrellas:,Flybondi es mi elección favorita cuando se trata de vuelos económicos y eficientes en Argentina. He tenido varias experiencias excelentes con ellos: desde la facilidad de reserva en su sitio web hasta el servicio a bordo amable y atento.…,,,,
Ojos_locos Llob,Local Guide · 29 reseñas · 24 fotos,1 estrellas:,"""A pesar del sugerente eslogan de la empresa que invita a experimentar 'la libertad de volar', mi reciente experiencia no estuvo a la altura de esta promesa. El vuelo experimentó un considerable retraso sin una explicación clara, y para…",,,,
Katerine Triana,Local Guide · 18 reseñas · 53 fotos,4 estrellas:,"Me gustó aunque se retrasó 15 minutos en el embarque. De resto, todo fue excelente.",,,,
Evelina Victoria Bourdieu,Local Guide · 44 reseñas · 54 fotos,5 estrellas:,"Perdí la cuenta de cuántas veces volé con Flybondi y la verdad siempre tuve una buena experiencia, las pocas veces que ocurrió algún retraso/cambio fue por cuestiones climáticas que obviamente los exceden y en todas las ocasiones nos ofrecieron alguna solución. Excelente opción para vuelos de cabotaje.",,,,
ALEJANDRO GORBARAN,2 reseñas,1 estrellas:,"Nunca más volare x esta empresa,  no cancelaron el vuelo de regreso y perdimos un día del viaje. El día del vuelo salio retrazado, sumado q en el viaje de idea nos rompieron 2 valijas y no se hacen cargo. Un desastre. Con esta empresa lo barato termina saliendo carísimo.",,,,
Nelson E Cardetti,Local Guide · 270 reseñas · 156 fotos,5 estrellas:,Excelente servicio. Los ajustes del horario de partida fueron mínimos y debidamente avisados. El personal de cabina es altamente profesional y de trato excelente. El vuelo transcurrió sin ningún problema por lo que destaco la labor de los comandantes y primeros oficiales. El equipaje llegó sin inconvenientes.,,,,
Bárbara,3 reseñas,4 estrellas:,Excelente vuelo Aero nave limpia cómoda para viaje corto  Puntualidad y cordialidas en el embarque Compra on line y check in claro y rápido Atención  telefónica sin demoras para resolver dudas…,,,,
Daniela Godoy,9 reseñas · 2 fotos,5 estrellas:,"Excelente, cero problema. Me gané 2 pasajes en el aniversario y pensé que al no ser comprados no iba a tener atención. Todo lo contrario. Me reprogramaron el vuelo,llame y solucionamos todo. Siempre tratando de buscar una solución. Ademas la atención durante el vuelo 10 puntos. Gracias!!",,,,
Mónica Frugoni,3 reseñas,3 estrellas:,"He tenido dos viajes serenos y agradables, el personal amabile y dispuesto. El problema fue cuando me cancelaron la vuelta y al día siguiente, me cambiaron nuevamente el horario.",,,,
Angel Bronstein,4 reseñas,5 estrellas:,"Flybondi sigue brindando muy buen servicio. Muy amable el personal de tierra y de cabina.
Con FB cientos de miles hicieron su primer vuelo.  Muy enojado por el cierre de El Palomar, que no es responsabilidad de FB.",,,,
Juan Mercado,Local Guide · 17 reseñas · 37 fotos,5 estrellas:,"Excelente servicio, puntuales, sin demoras, sin cancelación, la verdad que la experiencia que me toco con la empresa muy buena!",,,,
Sylvina Morales,Local Guide · 166 reseñas · 374 fotos,1 estrellas:,"La atención es pésima. Cancelan los vuelos y después no atienden ni por teléfono, ni por correo, ni por formulario web.
La única forma de que te re programen es esperar todo el día en el aeropuerto y…",26.0,,,
